GNI,DR,SC,3BD,HOS,LifeEx,pop,urb,WLE,WUE,MYE,MAE,MLE,MUE,WAE
1,90.7,44.1,30.7,5.52,63.4,10.0,13.4,21.5,2.38,4.0,69.9,26.1,4.01,76.1
3,95.6,21.5,19.1,5.17,67.4,0.18,54.1,79.7,4.59,5.06,22.7,70.6,6.7,15.7
3,94.7,26.9,66.3,13.6,64.3,12.7,44.7,69.9,1.07,2.69,34.3,61.8,3.9,29.0
1,108.0,36.9,48.7,7.47,49.4,6.43,32.2,42.3,5.23,2.79,54.9,34.9,10.2,52.5
12,54.4,26.1,28.7,4.8,57.7,51.4,62.5,79.4,17.7,9.09,6.06,79.0,14.9,2.97
3,67.7,28.6,41.2,7.78,68.7,7.56,25.0,73.3,26.1,10.3,2.96,79.8,18.2,6.26
2,102.0,41.8,33.5,6.86,58.6,44.3,23.1,31.4,2.96,5.17,60.4,32.8,6.85,65.6
8,93.9,55.6,51.0,7.03,67.2,1.09,24.2,33.7,6.28,5.3,57.6,25.8,16.6,60.0
1,92.9,27.7,27.3,6.73,57.5,6.45,38.0,68.1,1.0,4.6,49.3,46.2,4.51,30.9
2,119.0,34.1,24.5,6.61,57.1,32.5,14.4,28.9,5.34,5.62,62.8,28.3,8.9,65.7
4,48.9,22.7,24.0,4.5,74.8,88.0,29.6,34.0,10.3,8.32,49.0,43.7,7.24,55.7
4,88.1,46.3,30.8,8.92,65.5,23.2,30.8,25.6,15.1,4.76,22.5,64.3,13.2,59.3
3,109.0,43.2,19.9,6.43,55.7,13.7,37.3,45.5,5.85,6.73,47.5,43.7,8.73,48.6
2,89.3,32.1,25.0,5.63,50.6,12.7,30.9,68.2,8.3,8.11,22.0,68.0,10.1,23.5
10,53.5,20.0,22.8,4.51,76.9,2.91,48.6,55.5,22.6,9.76,21.6,69.6,8.83,22.0
6,99.3,37.2,23.7,6.31,56.3,24.2,41.1,46.4,7.26,5.77,34.5,45.5,19.9,46.3
8,44.5,18.7,28.5,4.55,73.6,2.89,61.4,39.1,45.6,11.4,10.0,71.6,18.3,15.3
15,50.9,26.4,13.8,5.02,71.2,8.49,55.2,33.1,49.0,10.6,13.1,66.5,20.4,17.9
3,67.8,41.2,27.7,5.97,70.3,149.0,24.3,79.3,13.6,4.57,29.6,56.9,13.5,7.1
2,111.0,48.3,21.3,6.74,59.6,9.46,41.7,69.7,3.23,3.17,49.6,39.3,11.1,27.1
5,78.4,24.4,17.3,4.86,68.5,10.2,57.6,59.4,14.2,8.07,25.0,42.0,33.0,26.4
1,112.0,33.4,39.1,7.56,57.8,16.0,22.9,42.2,1.69,1.66,69.3,25.1,5.52,56.1
1,99.2,57.4,37.5,5.97,57.9,8.98,10.1,11.5,3.74,3.02,65.2,29.3,5.56,84.8
3,62.1,37.3,8.84,5.63,67.0,14.6,17.3,44.1,5.3,4.86,49.9,40.5,9.54,50.6
3,95.2,32.1,41.2,7.53,55.6,20.9,47.5,57.2,1.97,5.88,39.0,52.6,8.38,40.8
2,124.0,38.9,26.7,7.47,51.4,12.4,23.2,51.3,3.35,2.26,59.7,26.1,14.2,45.4
12,54.5,12.1,41.0,4.82,75.7,45.7,75.1,83.5,9.58,8.06,23.5,67.4,9.1,6.89
2,85.9,31.2,35.8,6.95,62.2,0.71,31.1,44.4,31.0,4.98,31.8,42.1,26.1,24.6
5,84.7,23.2,18.6,5.66,60.8,4.4,64.4,44.1,3.54,7.92,40.5,48.7,10.8,52.3
1,106.0,43.1,29.9,6.82,57.4,66.8,31.7,33.4,3.61,6.28,53.6,30.1,16.3,63.0
3,87.4,29.8,29.8,7.53,53.6,21.0,44.7,62.3,1.5,3.69,56.6,35.2,8.18,36.2
11,60.5,8.03,35.7,4.64,72.3,9.81,72.2,78.1,20.5,8.2,15.8,70.0,14.2,1.37
10,61.3,26.4,18.5,5.57,70.5,85.0,40.1,37.9,48.2,7.79,15.9,59.8,24.3,13.9
2,124.0,42.0,2.61,6.65,62.7,2.84,52.2,38.5,7.75,4.81,23.2,75.2,2.67,53.7
9,86.9,29.7,26.7,6.41,48.1,1.07,24.1,77.8,12.7,7.86,12.5,69.9,17.6,9.46
1,99.0,44.3,4.63,5.94,62.5,90.1,18.1,58.1,4.31,2.67,66.7,27.2,6.09,37.6
15,76.9,17.4,33.4,6.72,62.2,1.71,83.3,62.4,14.2,7.86,14.8,62.1,23.1,23.4
1,94.5,25.2,54.9,13.4,59.9,1.86,47.4,44.7,4.96,4.07,33.2,52.9,13.9,50.3
3,89.8,22.8,15.9,5.46,61.4,25.4,48.3,61.7,5.67,6.5,45.1,43.1,11.8,32.6
7,78.5,48.4,23.2,3.64,71.9,15.0,47.4,75.1,12.9,6.65,44.6,47.3,8.05,12.0
2,109.0,32.1,49.2,8.47,57.4,10.4,32.2,44.8,1.99,2.71,53.2,39.3,7.52,53.2
6,60.1,16.4,32.0,5.03,68.3,0.75,27.4,65.6,23.3,8.37,21.3,69.1,9.64,11.1
2,72.3,22.2,15.4,5.9,60.9,10.1,39.9,82.1,7.01,5.23,41.5,43.8,14.6,10.9
4,68.7,22.3,22.2,5.7,73.6,8.48,48.8,68.8,13.6,6.26,43.8,45.8,10.5,17.6
5,57.2,42.9,20.7,5.94,67.1,1249.0,31.5,40.3,9.92,5.76,31.1,59.9,8.93,49.8
9,66.1,9.48,35.1,6.38,73.6,7.72,82.5,28.4,69.1,10.5,3.09,75.0,21.9,2.48
19,49.9,12.1,24.0,4.55,68.0,16.6,53.5,63.4,49.6,11.7,6.85,68.8,24.3,1.4
3,90.6,30.8,17.9,5.61,61.9,43.2,26.9,41.3,23.1,7.71,27.4,48.5,24.1,35.5
3,63.0,18.6,28.1,5.38,69.4,5.54,33.2,49.4,47.4,11.4,18.0,62.6,19.4,3.24
3,69.6,36.5,15.2,5.96,46.2,2.01,24.0,64.7,10.9,6.53,27.0,66.2,6.77,24.4
1,96.6,33.1,33.1,6.73,60.1,3.99,49.9,42.2,2.78,4.94,49.2,39.1,11.6,55.0
1,95.1,47.8,7.21,5.87,63.8,21.8,16.2,22.8,3.64,4.26,75.6,22.5,7.83,77.7
1,109.0,45.5,22.6,5.78,57.2,15.0,15.7,36.7,2.87,5.26,46.0,47.9,6.03,60.5
11,55.2,17.1,49.6,8.07,76.3,0.39,34.8,66.0,29.7,6.12,23.5,57.1,19.4,4.28
2,118.0,38.1,42.8,7.42,55.7,15.5,24.2,57.5,1.48,1.7,55.5,37.0,7.48,41.0
3,94.8,29.8,22.3,7.58,62.8,3.6,42.4,75.7,7.44,4.8,26.8,62.7,10.5,16.9
5,46.1,7.01,15.6,3.31,70.1,3.57,37.4,50.3,34.9,11.0,15.8,69.4,14.8,14.8
7,45.4,18.5,29.2,7.41,74.7,33.0,57.7,50.1,16.2,6.75,24.6,62.2,13.2,33.8
1,108.0,43.3,24.0,5.76,53.0,24.2,31.6,37.8,6.83,3.64,40.1,51.3,8.63,55.3
4,56.3,32.2,14.0,5.52,64.0,51.1,26.1,70.4,9.11,5.32,26.0,65.7,8.35,20.5
9,76.5,23.3,43.2,6.49,58.1,2.16,45.3,74.5,16.8,7.79,19.0,63.7,17.3,8.73
2,72.8,40.2,30.9,5.8,68.0,27.0,13.2,21.1,4.59,3.86,26.1,65.9,8.0,74.3
4,53.8,16.7,20.6,3.47,72.7,5.9,58.8,79.5,9.62,7.16,32.2,63.0,5.7,10.9
1,144.0,44.9,23.4,7.84,58.1,17.2,16.7,80.0,7.04,1.18,49.3,44.9,5.77,12.9
5,96.7,38.0,29.8,6.7,51.3,163.0,37.2,70.9,7.13,6.19,40.3,47.7,12.0,21.9
4,76.8,45.1,21.7,9.01,65.6,183.0,33.1,59.2,12.2,4.63,14.8,73.2,12.0,28.6
3,79.5,43.5,37.6,6.45,62.3,8.44,11.5,45.2,14.7,5.35,31.4,44.7,23.8,40.1
11,60.0,19.3,25.9,4.83,74.7,29.3,69.5,55.8,13.0,9.03,35.0,52.0,13.0,31.1
2,90.0,42.9,30.4,5.48,64.5,10.3,14.1,21.7,2.61,4.13,68.2,27.2,4.63,75.6
3,95.2,20.4,20.3,5.12,67.9,0.18,57.2,79.7,4.59,5.2,22.7,70.6,6.7,15.7
3,95.0,28.3,66.6,13.8,64.9,13.0,44.9,70.7,0.35,2.75,34.5,63.5,1.97,28.9
1,105.0,37.1,47.1,7.48,50.2,6.57,31.9,43.8,4.31,2.9,54.7,35.4,9.89,51.9
12,52.5,26.1,28.2,4.72,58.9,52.0,63.1,78.8,18.0,9.21,6.49,78.0,15.5,3.21
3,66.7,27.7,42.6,7.84,69.1,7.72,24.6,68.8,27.5,10.3,3.11,79.2,18.2,6.59
2,101.0,40.3,33.1,6.86,59.5,45.8,24.4,32.8,3.2,5.33,59.5,33.8,6.75,64.0
5,93.0,53.9,52.1,6.97,67.5,1.12,24.7,37.2,7.12,5.4,53.8,28.7,17.5,55.7
1,94.2,27.5,26.5,6.75,58.1,6.62,37.9,68.2,0.96,4.67,48.9,46.9,4.27,30.8
