Country,2010_WUE,2011_WUE,2012_WUE,2013_WUE,2014_WUE,2015_WUE,2016_WUE,2017_WUE,2018_WUE,2019_WUE,2020_WUE
Nicaragua,10.3,9.62,8.93,8.24,7.55,6.86,6.17,5.48,4.79,4.1,3.41
Niger,6.22,7.04,7.86,8.69,9.51,10.3,11.2,12,12.8,13.6,14.4
Nigeria,6.78,7.13,7.48,7.83,8.56,9.29,10,10.8,11.5,12.2,12.9
Pakistan,11.2,12.2,13.1,14.6,16.1,17.6,19.1,20.6,22.1,23.6,25.1
Papua New Guinea,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
Peru,12.9,13,13.1,13.2,13.3,13.4,13.5,13.6,13.7,13.8,13.9
Philippines,25.4,26.1,26.8,27.4,27.3,27.1,27,26.8,26.7,26.5,26.3
Rwanda,2.38,2.61,2.84,3.07,3.3,3.53,3.76,3.99,4.22,4.45,4.68
Sao Tome & Principe,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59
Senegal,1.07,0.35,4,2.21,0.41,3.2,3.2,5.13,2.89,2.21,2.11
Sierra Leone,5.23,4.31,3.39,2.47,2.55,2.63,2.71,2.8,2.88,2.96,3.04
South Africa,17.7,18,18.3,18.6,18.9,19.2,19.5,19.8,20.1,20.4,20.7
Tajikistan,26.1,27.5,28.9,30.3,31.7,33.1,34.5,35.9,37.4,38.8,40.2
Tanzania,2.96,3.2,3.44,3.68,3.92,4.15,4.39,4.63,4.87,5.11,5.35
Timor Leste,6.28,7.12,7.97,8.82,9.66,10.5,11.4,12.2,13,13.9,14.7
Togo,1,0.96,0.91,0.87,0.83,0.79,0.75,0.71,0.67,0.63,0.59
Turkey,21.9,22.6,23.3,24,24.7,25.3,26,26.7,27.4,28.1,
Uganda,5.34,5.88,6.5,7.12,7.74,8.37,8.99,9.61,10.2,10.9,11.5
Ukraine,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8
Uzbekistan,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,,,
Vietnam,10.3,10.6,10.9,11.2,11.4,11.7,12,12.3,12.5,12.8,13.1
Yemen,15.1,15.8,16.5,17.3,18,18.8,19.5,20.3,21,21.8,22.5
Zambia,5.85,5.87,5.89,5.91,5.93,6.4,6.86,7.33,7.79,8.25,8.72
Zimbabwe,8.3,8.54,9.54,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5
