Country,2010_MUE,2011_MUE,2012_MUE,2013_MUE,2014_MUE,2015_MUE,2016_MUE,2017_MUE,2018_MUE,2019_MUE,2020_MUE
South Africa,14.9,15.5,16,16.6,17.2,17.8,18.3,18.9,19.5,20,20.6
Tajikistan,18.2,18.2,18.1,18,17.9,17.8,17.8,17.7,17.6,17.5,17.4
Tanzania,6.85,6.75,6.65,6.54,6.44,6.34,6.24,6.14,6.03,5.93,5.83
Timor Leste,16.6,17.5,18.3,19.2,20,20.9,21.7,22.6,23.4,24.3,25.1
Togo,4.51,4.27,4.03,3.79,3.55,3.38,3.21,3.05,2.88,2.71,2.54
Turkey,18.8,19.2,19.6,20,20.4,20.8,21.2,21.5,21.9,22.3,22.7
Uganda,8.9,9.05,10.3,11.5,12.8,14,15.3,16.5,17.7,19,20.2
Ukraine,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
Uzbekistan,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,,,
Vietnam,7.24,7.15,7.06,6.98,6.89,6.8,6.72,6.63,6.54,6.46,6.37
Yemen,13.2,13.3,13.3,13.4,13.4,13.4,13.5,13.5,13.6,13.6,13.7
Zambia,8.73,8.59,8.45,8.32,8.18,8.47,8.76,9.05,9.35,9.64,9.93
Zimbabwe,10.1,9.51,10.6,11.7,12.8,13.8,14.9,16,17.1,18.2,19.2
