Country,2010_WAE,2011_WAE,2012_WAE,2013_WAE,2014_WAE,2015_WAE,2016_WAE,2017_WAE,2018_WAE,2019_WAE,2020_WAE
Maldives,4.86,4.28,3.69,3.11,2.52,1.94,1.35,0.77,0.73,0.69,0.66
Mali,42.5,41,39.5,38,37.7,37.4,37,36.7,36.4,36.1,35.7
Mauritania,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9
Moldova,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
Morocco,33.4,33.8,34.1,34.4,34.7,35,35.3,35.6,36,36.3,36.6
Mozambique,57.9,55.3,52.8,50.2,47.6,45.1,42.5,39.9,37.4,34.8,32.2
Myanmar,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Namibia,10.8,8.73,6.66,4.59,4.37,4.15,3.94,3.72,3.5,3.28,3.06
Nepal,76.8,74.3,74.1,73.9,73.7,73.5,73.3,73.1,72.8,72.6,72.4
Nicaragua,10.8,10.9,11.1,11.2,11.4,11.5,11.7,11.8,12,12.1,12.3
Niger,16.8,12.9,9.08,8.65,8.22,7.79,7.35,6.92,6.49,6.06,5.63
Nigeria,24.2,21.9,19.7,17.5,14,10.5,6.99,3.5,0,0,0
Pakistan,30.5,28.6,26.7,25.9,25.2,24.4,23.7,22.9,22.1,21.4,20.6
Papua New Guinea,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1
Peru,30.2,31.1,32,32.9,33.8,34.7,35.6,36.5,37.4,38.3,39.2
Philippines,16.5,16.2,16,15.7,15.6,15.5,15.4,15.3,15.2,15,14.9
Rwanda,76.1,75.6,75.2,74.8,74.3,73.9,73.4,73,72.5,72.1,71.6
Sao Tome & Principe,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7
Senegal,29,28.9,34,33.3,32.7,40.5,40.5,35,39.9,35.1,33.4
Sierra Leone,52.5,51.9,51.3,50.8,52.2,53.5,54.9,56.3,57.6,59,60.4
South Africa,2.97,3.21,3.44,3.68,3.92,4.15,4.39,4.63,4.87,5.1,5.34
Tajikistan,6.26,6.59,6.91,10.1,13.2,16.4,19.5,22.7,25.8,29,32.1
Tanzania,65.6,64,62.4,60.8,59.2,57.6,56,54.4,52.8,51.2,49.6
Timor Leste,60,55.7,51.4,47.1,42.7,38.4,34.1,32.5,30.8,29.2,27.6
Togo,30.9,30.8,30.7,30.6,30.5,30.3,30.2,30.1,30,29.9,29.8
Turkey,21.5,19.1,16.7,14.3,11.9,9.55,7.17,4.78,2.4,0.01,
Uganda,65.7,63.4,60.7,57.9,55.2,52.5,49.7,47.4,45,42.6,40.3
Ukraine,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73
Uzbekistan,19,19,19,19,19,19,19,19,,,
Vietnam,55.7,55,54.3,53.6,52.9,52.2,51.5,50.8,50.1,49.4,48.7
Yemen,59.3,57.7,56.2,54.6,53,51.4,49.8,48.2,46.6,45.1,43.5
Zambia,48.6,48.8,49.1,49.3,49.6,46.9,44.2,41.5,38.8,37,35.1
Zimbabwe,23.5,20.6,19.3,17.9,16.5,15.1,14.4,13.7,13,12.3,11.5
